Actual Answer,Predicted Answer,Matched Predicted,Score
D,D,d,1
D,D,d,1
C,A,a,0
D,A,a,0
D,D,d,1
C,B,b,0
C,B,b,0
D,B,b,0
A,B,b,0
C,C,c,1
B,C,c,0
B,D,d,0
C,A,a,0
C,C,c,1
B,A,a,0
B,B,b,1
D,A,a,0
A,C,c,0
B,B,b,1
B,A,a,0
A,A,a,1
D,D,d,1
B,B,b,1
C,A,a,0
A,C,c,0
C,C,c,1
B,D,d,0
A,A,a,1
C,A,a,0
B,A,a,0
D,C,c,0
C,A,a,0
B,A,a,0
B,B,b,1
A,B,b,0
C,D,d,0
B,B,b,1
D,A,a,0
A,C,c,0
D,D,d,1
C,C,c,1
B,C,c,0
C,A,a,0
D,B,b,0
C,A,a,0
C,A,a,0
D,D,d,1
D,D,d,1
D,B,b,0
C,A,a,0
A,C,c,0
C,B,b,0
A,A,a,1
B,A,a,0
D,A,a,0
D,C,c,0
D,B,b,0
B,D,d,0
D,B,b,0
B,B,b,1
A,A,a,1
A,D,d,0
B,C,c,0
B,B,b,1
C,C,c,1
D,D,d,1
B,A,a,0
C,A,a,0
C,C,c,1
B,A,a,0
C,C,c,1
A,D,d,0
B,A,a,0
C,C,c,1
D,C,c,0
B,A,a,0
C,D,d,0
B,A,a,0
C,A,a,0
A,B,b,0
C,C,c,1
A,C,c,0
A,A,a,1
B,D,d,0
A,B,b,0
A,A,a,1
D,A,a,0
C,B,b,0
B,A,a,0
D,A,a,0
B,B,b,1
D,B,b,0
A,A,a,1
C,B,b,0
A,A,a,1
A,A,a,1
A,B,b,0
D,A,a,0
A,A,a,1
B,C,c,0
A,A,a,1
A,A,a,1
C,B,b,0
A,A,a,1
B,D,d,0
A,B,b,0
C,A,a,0
D,A,a,0
C,B,b,0
B,B,b,1
D,A,a,0
B,B,b,1
A,A,a,1
C,B,b,0
C,D,d,0
C,A,a,0
A,B,b,0
B,A,a,0
D,A,a,0
A,B,b,0
C,A,a,0
B,A,a,0
C,A,a,0
A,A,a,1
D,A,a,0
D,A,a,0
D,A,a,0
D,A,a,0
B,A,a,0
A,B,b,0
A,D,d,0
C,A,a,0
C,A,a,0
A,A,a,1
D,A,a,0
A,A,a,1
D,A,a,0
B,A,a,0
C,C,c,1
D,B,b,0
C,C,c,1
B,B,b,1
B,B,b,1
B,B,b,1
D,D,d,1
D,B,b,0
D,B,b,0
B,C,c,0
B,A,a,0
A,A,a,1
B,B,b,1
D,C,c,0
D,A,a,0
C,C,c,1
C,A,a,0
A,C,c,0
A,A,a,1
D,B,b,0
C,B,b,0
A,B,b,0
B,D,d,0
B,A,a,0
B,B,b,1
C,A,a,0
B,A,a,0
B,C,c,0
D,D,d,1
D,A,a,0
A,D,d,0
A,A,a,1
A,B,b,0
B,A,a,0
B,A,a,0
B,A,a,0
B,A,a,0
A,B,b,0
B,C,c,0
D,A,a,0
C,A,a,0
B,B,b,1
B,A,a,0
B,C,c,0
A,A,a,1
D,A,a,0
C,B,b,0
C,C,c,1
A,A,a,1
C,C,c,1
D,A,a,0
B,C,c,0
B,A,a,0
C,D,d,0
